ad;kod;panel_duzenleme;magaza;fiyat;stok;gorsel_1
İnci Kolye;NBK182;https://www.nbsteelora.com/panel/urunler/a9275978-37b9-4f74-b3f2-01a3d6be6ef3;https://www.nbsteelora.com/urun/2li-inci-zincir-kalp-figurlu-nazar-detayli-kadin-celik-kolye-NBK182;449.9;3;https://cdn.dsmcdn.com/ty1790/prod/QC_PREP/20251116/18/d00adf51-d6d2-3fa9-a5b6-ca035cb82847/1_org_zoom.jpg
İnci Kolye;NBK082;https://www.nbsteelora.com/panel/urunler/3cf526ea-65bc-41dc-ae6b-6f15ee6ec0e6;https://www.nbsteelora.com/urun/2li-inci-zincir-nazar-boncuklu-pembe-tasli-celik-kalp-kolye-NBK082;399.9;3;https://cdn.dsmcdn.com/ty1778/prod/QC_PREP/20251021/23/8dc84d10-bcfa-38d5-975e-3c3585972e7b/1_org_zoom.jpg
Külçe Kolye;NBK043;https://www.nbsteelora.com/panel/urunler/7a1d5135-5f8d-45d2-808e-b2bf18780a6d;https://www.nbsteelora.com/urun/kulce-kolye-gold-45cm-NBK043;499.9;2;https://cdn.dsmcdn.com/ty1782/prod/QC_PREP/20251029/15/0a5f9c62-af41-3d2d-9b90-b756e4c8076a/1_org_zoom.jpg
Külçe Kolye;NBK042;https://www.nbsteelora.com/panel/urunler/c6c6979e-b1fc-4369-b07f-4d2944a92063;https://www.nbsteelora.com/urun/kulce-celik-kolye-gold-45-cm-NBK042;449.9;1;https://cdn.dsmcdn.com/ty1783/prod/QC_PREP/20251029/15/19ce52b1-ae3b-3b0a-88d7-73b7c00b29c1/1_org_zoom.jpg
Külçe Kolye;NBK041;https://www.nbsteelora.com/panel/urunler/a3a76f14-f1d1-436f-9fff-debaa0898ffd;https://www.nbsteelora.com/urun/kulce-celik-kolye-45cm-NBK041;399.9;2;https://cdn.dsmcdn.com/ty1784/prod/QC_PREP/20251029/16/a0cb0a78-d88b-3bcb-a51c-5576e15c3dd2/1_org_zoom.jpg
Simli Kolye;K175-1;https://www.nbsteelora.com/panel/urunler/8982d6fb-4cb7-46e2-a62f-d4d566bdd18c;https://www.nbsteelora.com/urun/gold-renk-2li-simli-kelebek-figurlu-kadin-celik-kolye-K175-1;399.9;3;https://cdn.dsmcdn.com/ty1789/prod/QC_PREP/20251116/16/97ab4b4a-0278-3da4-a647-9b06f2469194/1_org_zoom.jpg
Simli Kolye;NBK071;https://www.nbsteelora.com/panel/urunler/79ee2703-1365-43f3-8826-f0d2777a8d66;https://www.nbsteelora.com/urun/316l-celik-gold-renk-2li-simli-kelebek-model-kolye-NBK071;399.9;3;https://cdn.dsmcdn.com/ty1783/prod/QC_PREP/20251029/16/df9f3ef1-bac5-3c3a-98bf-51cc1f079f9e/1_org_zoom.jpg
